customer_profile_event_id,customer_id,full_name,email,gender,birth_date,city_id,loyalty_tier,marketing_opt_in,effective_at,operation
1,1,"Hamima Prakasa, S.E.I",katierodriguez@example.com,Male,1970-11-07,18,New,False,2021-09-16 00:00:00,insert
2,2,Murti Mansur,rajasalaila@example.com,Female,1976-05-28,31,New,True,2021-10-09 00:00:00,insert
3,3,"Puput Widiastuti, S.Farm",robert52@example.org,Female,2007-04-08,23,Regular,True,2021-10-29 00:00:00,insert
4,3,"Puput Widiastuti, S.Farm",robert52@example.org,Female,2007-04-08,21,Silver,False,2025-05-11 00:00:00,update
5,4,Christopher Cook,frederickcurry@example.org,Male,1957-07-12,1,Regular,False,2021-03-30 00:00:00,insert
6,5,Dawn Richardson,laura86@example.org,Female,1975-09-08,11,Silver,True,2021-07-19 00:00:00,insert
7,6,Alison Carey,dadap73@example.org,Male,1983-01-20,20,New,False,2021-10-11 00:00:00,insert
8,6,Alison Carey,dadap73@example.org,Male,1983-01-20,32,New,True,2023-02-23 00:00:00,update
9,7,Mario May,nalarmustofa@example.org,Male,1985-12-03,18,New,False,2021-06-26 00:00:00,insert
10,8,Bancar Suwarno,johnsonrobert@example.net,Male,1984-05-10,4,New,True,2020-11-20 00:00:00,insert
11,9,"Cemani Firmansyah, M.M.",cgonzalez@example.net,Female,1974-07-14,11,New,False,2021-12-20 00:00:00,insert
12,9,"Cemani Firmansyah, M.M.",cgonzalez@example.net,Female,1974-07-14,30,New,False,2024-08-24 00:00:00,update
13,10,"Kani Andriani, M.Kom.",youngricky@example.com,Male,2003-03-10,16,New,True,2021-04-08 00:00:00,insert
14,10,"Kani Andriani, M.Kom.",youngricky@example.com,Male,2003-03-10,3,New,True,2023-06-11 00:00:00,update
15,11,Heather Nunez,adriansyahtugiman@example.com,Female,1964-10-10,1,New,True,2021-03-12 00:00:00,insert
16,12,Robert Evans,hastutiopan@example.org,Male,2006-07-21,31,Regular,True,2021-12-12 00:00:00,insert
17,13,Jonathan Alexander,yonoprasasta@example.org,Female,1995-08-02,11,New,True,2021-02-08 00:00:00,insert
18,14,Ernest Gardner,julie34@example.com,Female,2007-03-04,22,Regular,True,2021-05-12 00:00:00,insert
19,15,Stanley Taylor,budimanhari@example.org,Male,1990-04-26,5,New,False,2020-09-19 00:00:00,insert
20,16,Natasha Diaz,graykeith@example.net,Female,1978-07-23,9,Regular,True,2021-12-13 00:00:00,insert
21,16,Natasha Diaz,graykeith@example.net,Female,1978-07-23,9,Gold,True,2025-11-22 00:00:00,update
22,17,William Bullock,gjohnson@example.net,Female,1980-12-01,1,Gold,True,2020-12-22 00:00:00,insert
23,18,"drg. Ulva Zulkarnain, S.Kom",wasitacarub@example.org,Female,1994-01-17,21,New,False,2021-01-16 00:00:00,insert
24,19,Atmaja Haryanti,kathleen15@example.com,Female,1995-01-06,26,Regular,True,2021-07-31 00:00:00,insert
25,20,Nugraha Puspasari,imam11@example.net,Male,1989-06-11,13,Gold,False,2020-10-03 00:00:00,insert
26,21,Erin Davis,dabukkerini@example.org,Male,1973-12-02,15,New,True,2021-04-20 00:00:00,insert
27,21,Erin Davis,dabukkerini@example.org,Male,1973-12-02,13,Silver,True,2024-10-12 00:00:00,update
28,22,Rahayu Riyanti,porterheather@example.org,Male,1957-11-24,26,Regular,False,2021-06-06 00:00:00,insert
29,22,Rahayu Riyanti,porterheather@example.org,Male,1957-11-24,2,Regular,False,2023-04-06 00:00:00,update
